Unnamed: 0,Federal Provider Number,Provider Name,Provider Address,Provider City,Provider State,Provider Zip Code,Provider Phone Number,Provider County Name,Number of Certified Beds,Average Number of Residents Per Day,Provider Type,Overall Rating,Health Inspection Rating,QM Rating,Staffing Rating,Reported Total Nurse Staffing Hours per Resident per Day,Reported Physical Therapist Staffing Hours per Resident Per Day,Total Weighted Health Survey Score,Number of Facility Reported Incidents,Number of Substantiated Complaints,Number of Fines,Total Number of Penalties,Avg Hospital Stay,Treatment cost (in thousands $),Hospital readmission rates(in %),Patient wait time (mins),Patient satisfaction rate(out of 10),ER wait time,Primary Care Provider(PCP),Cluster
11753,675503,BEACON HILL,3515 S PARK AVE,DENISON,TX,75020,9033278537,Grayson,150,102.2,Medicare and Medicaid,4,4,5,1,3.3188,0.10031,36.667,0,0,0,0,9,43,10,75,1,18,PD,Cluster 0
11754,115354,LAGRANGE HEALTH AND REHAB,2111 WEST POINT ROAD,LAGRANGE,GA,30240,7068129293,Troup,138,94.1,Medicare and Medicaid,1,1,2,2,3.54138,0.04798,126.333,0,4,1,1,7,15,28,35,5,33,No,Cluster 1
11755,335030,MOSHOLU PARKWAY NURSING & REHABILITATION CENTER,3356 PERRY AVENUE,BRONX,NY,10467,7186553568,Bronx,122,118.5,Medicare and Medicaid,5,5,5,2,3.02663,0.08361,4.0,0,0,0,0,7,50,14,15,3,15,FP,Cluster 0
11756,115351,MUSCOGEE MANOR & REHABILITATION CTR,7150 MANOR ROAD,COLUMBUS,GA,31906,7065613218,Muscogee,170,111.8,Medicare and Medicaid,2,1,3,4,6.46252,0.02994,41.333,0,2,1,1,7,14,22,35,5,26,PD,Cluster 2
11757,525474,BLOOMFIELD HEALTHCARE AND REHAB CENTER,3151 CTY RD CH,DODGEVILLE,WI,53533,6089353321,Iowa,50,41.7,Medicare and Medicaid,5,3,5,5,4.67652,0.02376,32.667,1,2,0,0,6,36,11,55,7,16,PD,Cluster 0
11758,105587,COUNTRYSIDE REHAB AND HEALTHCARE CENTER,3825 COUNTRYSIDE BLVD N,PALM HARBOR,FL,34684,7277842848,Pinellas,120,109.7,Medicare and Medicaid,2,2,3,3,3.86821,0.05913,38.0,1,1,0,0,7,28,29,35,8,27,FP,Cluster 2
11759,335350,SUTTON PARK CENTER FOR NURSING AND REHABILITATION,31 LOCKWOOD AVENUE,NEW ROCHELLE,NY,10801,9145760600,Westchester,160,154.9,Medicare and Medicaid,4,4,3,2,3.0595,0.07275,10.667,0,1,0,0,9,40,13,15,5,24,PD,Cluster 3
11760,335214,EASTCHESTER REHABILITATION AND HEALTH CARE CENTER,2700 EASTCHESTER ROAD,BRONX,NY,10469,7182315550,Bronx,200,187.8,Medicare and Medicaid,3,3,5,1,3.66314,0.0,17.333,0,1,0,0,7,6,15,15,2,21,FP,Cluster 3
11761,335412,COOPERSTOWN CENTER FOR REHABILITATION AND NURSING,128 PHOENIX MILLS CROSS ROAD,COOPERSTOWN,NY,13326,6075442600,Otsego,174,176.5,Medicare and Medicaid,2,1,5,3,4.266769999999998,0.0699,73.333,12,8,1,1,6,12,25,15,1,37,No,Cluster 1
11762,165174,CASA DE PAZ HEALTH CARE CENTER,2121 WEST 19TH STREET,SIOUX CITY,IA,51103,7122333127,Woodbury,71,49.5,Medicare and Medicaid,1,1,3,3,3.01052,0.03397,185.667,2,49,2,2,7,10,31,55,7,40,No,Cluster 1
11763,55848,VICTORIAN POST ACUTE,2121 PINE STREET,SAN FRANCISCO,CA,94115,4159225085,San Francisco,90,87.7,Medicare and Medicaid,4,2,5,4,3.67109,0.11139,76.0,2,0,1,1,4,26,29,98,8,31,FP,Cluster 2
11764,495114,"REGENCY CARE OF ARLINGTON, LLC",1785 SOUTH HAYES STREET,ARLINGTON,VA,22202,7039205700,Arlington,240,174.9,Medicare and Medicaid,1,1,3,2,3.48452,0.0643,142.0,0,12,1,1,7,14,30,25,2,39,No,Cluster 1
11765,425375,WILLOW BROOKE COURT AT PARK POINTE VILLAGE,3025 CHESBROUGH BLVD,ROCK HILL,SC,29732,8039808605,York,40,8.1,Medicare,4,4,4,4,4.26293,1.39465,20.667,0,0,0,0,8,42,15,25,7,10,No,Cluster 0
11766,15120,"NHC HEALTHCARE, ANNISTON",2300 COLEMAN RD,ANNISTON,AL,36207,2568315730,Calhoun,151,143.5,Medicare and Medicaid,4,4,4,4,4.06034,0.09012,12.667,0,0,0,0,2,40,21,31,2,23,FP,Cluster 3
11767,55160,COUNTRY VILLA PAVILION NURSING CENTER,5916 W. PICO BOULEVARD,LOS ANGELES,CA,90035,3239393184,Los Angeles,59,52.7,Medicare and Medicaid,4,4,4,2,4.00535,0.10394,50.0,3,7,0,0,3,40,24,91,5,32,No,Cluster 2
11768,155178,GOLDEN LIVING CENTER-FOUNTAINVIEW,609 W TANGLEWOOD LN,MISHAWAKA,IN,46545,5742772500,St. Joseph,130,72.0,Medicare and Medicaid,1,1,2,2,3.1564,0.03604,145.0,0,15,1,1,5,11,21,45,7,30,FP,Cluster 1
11769,365426,ARBORS WEST,375 WEST MAIN STREET,WEST JEFFERSON,OH,43162,6148797661,Madison,99,77.8,Medicare and Medicaid,3,3,3,2,3.08771,0.02765,47.333,1,5,0,0,6,30,23,45,9,28,FP,Cluster 2
11770,445157,CLAIBORNE AND HUGHES HLTH CNTR,200 STRAHL STREET,FRANKLIN,TN,37064,6157911103,Williamson,157,110.9,Medicare and Medicaid,2,1,5,1,2.81263,0.04568,53.333,1,3,0,0,6,18,29,35,5,32,FP,Cluster 2
11771,445519,NHC PLACE SUMNER,140 THORNE BOULEVARD,GALLATIN,TN,37066,6154510788,Sumner,92,87.1,Medicare,4,3,4,4,4.80513,0.2359,12.667,1,1,0,0,6,38,11,35,6,17,FP,Cluster 0
11772,495141,ALLEGHANY HEALTH AND REHAB,1725 MAIN STREET,CLIFTON FORGE,VA,24422,5408625791,Alleghany,105,93.7,Medicare and Medicaid,4,4,3,3,2.99125,0.0,39.333,0,6,0,0,5,2,28,25,4,32,No,Cluster 2
11773,555084,DESERT SPRINGS HEALTHCARE & WELLNESS CENTRE,82-262 VALENCIA AVENUE,INDIO,CA,92201,7603476000,Riverside,68,58.9,Medicare and Medicaid,4,4,4,3,3.81578,0.04231,42.667,2,5,0,0,7,48,24,95,8,30,PD,Cluster 2
11774,15134,BIRMINGHAM NURSING AND REHABILITATION CENTER EAST,733 MARY VANN LANE,BIRMINGHAM,AL,35215,2058541361,Jefferson,132,119.8,Medicare and Medicaid,3,2,5,2,2.66949,0.03651,26.0,0,2,0,0,2,26,20,31,4,33,PD,Cluster 2
11775,195615,BOOKER T.WASHINGTON SKILLED NURSING AND REHABILITA,7605 LINE AVENUE,SHREVEPORT,LA,71106,3182192608,Caddo,80,72.5,Medicare and Medicaid,1,2,3,1,2.89696,0.06838999999999999,40.0,0,1,0,0,3,28,22,75,8,27,No,Cluster 2
11776,146142,MERIDIAN VILLAGE CARE CENTER,27 AUERBACH PLACE,GLEN CARBON,IL,62034,6182883700,Madison,70,61.7,Medicare and Medicaid,5,4,5,4,5.01945,0.04924,25.333,0,2,0,0,6,40,16,66,4,12,PD,Cluster 0
11777,235388,BAY SHORES SENIOR CARE AND REHAB CENTER,3254 E MIDLAND RD,BAY CITY,MI,48706,9896863770,Bay,126,104.4,Medicare and Medicaid,5,3,5,4,4.74643,0.064,76.667,0,5,0,0,9,37,12,45,8,13,FP,Cluster 0
11778,215198,WILLIAMSPORT NURSING HOME,154 N. ARTIZAN STREET,WILLIAMSPORT,MD,21795,3012237971,Washington,121,118.8,Medicare and Medicaid,2,1,5,3,4.65735,0.07808999999999999,136.0,0,3,1,1,3,16,22,25,9,34,No,Cluster 1
11779,56238,WINDSOR VALLEJO NURSING & REHABILITATION CENTER,2200 TUOLUMNE STREET,VALLEJO,CA,94589,7076447401,Solano,166,143.7,Medicare and Medicaid,2,1,4,4,4.01742,0.06857,150.0,0,12,0,1,7,10,34,92,8,33,No,Cluster 1
11780,75034,"CAROLTON CHRONIC & CONV HOSP,",400 MILL PLAIN RD,FAIRFIELD,CT,6430,2032553573,Fairfield,229,146.5,Medicare and Medicaid,5,3,5,4,4.69545,0.1845,40.667,0,0,1,1,2,36,17,60,4,25,PD,Cluster 3
11781,75192,MERIDEN CENTER,845 PADDOCK AVE,MERIDEN,CT,6450,2032382645,New Haven,130,108.2,Medicare and Medicaid,2,2,4,3,2.98295,0.09346,51.333,3,1,1,1,2,29,21,61,1,26,FP,Cluster 2
11782,335403,WAYNE HEALTH CARE,100 SUNSET DRIVE,NEWARK,NY,14513,3153322700,Wayne,182,171.0,Medicare and Medicaid,4,3,4,4,4.85452,0.0576,22.667,1,2,0,0,3,38,20,15,4,28,PD,Cluster 3
11783,335672,VALLEY HEALTH SERVICES INC,690 WEST GERMAN STREET,HERKIMER,NY,13350,3158663330,Herkimer,160,147.7,Medicare and Medicaid,5,4,5,3,3.55331,0.06404,12.667,0,0,0,0,3,45,14,15,7,22,FP,Cluster 3
11784,185293,LANDMARK OF LAUREL CREEK REHABILITATION AND NURSIN,1033 NORTH HIGHWAY 11,MANCHESTER,KY,40962,6065986163,Clay,106,97.9,Medicare and Medicaid,3,3,2,2,3.22169,0.059,18.0,0,3,0,0,6,32,28,45,9,28,No,Cluster 2
11785,205060,CEDAR RIDGE CENTER,23 CEDAR RIDGE DRIVE,SKOWHEGAN,ME,4976,2074749686,Somerset,75,71.0,Medicare and Medicaid,3,2,4,4,4.00752,0.0619,26.667,3,0,0,0,2,20,23,45,6,26,PD,Cluster 2
11786,55189,GREENFIELD CARE CENTER OF FAIRFIELD,1260 TRAVIS BLVD,FAIRFIELD,CA,94533,7074250669,Solano,90,74.4,Medicare and Medicaid,4,3,4,4,4.53851,0.09971,55.333,4,0,0,0,7,35,13,91,9,19,No,Cluster 0
11787,105734,SOLARIS HEALTHCARE OSCEOLA,4201 W NEW NOLTE ROAD,SAINT CLOUD,FL,34772,4079573341,Osceola,120,110.4,Medicare and Medicaid,3,2,2,4,4.33154,0.10238,47.5,0,0,0,0,4,23,19,35,3,31,GP,Cluster 2
11788,265161,WILSON'S CREEK NURSING & REHAB,3403 WEST MT VERNON,SPRINGFIELD,MO,65802,4178645600,Greene,172,126.1,Medicare and Medicaid,4,4,2,3,2.86849,0.01003,21.333,0,0,0,0,4,48,21,65,6,30,FP,Cluster 2
11789,105641,NSPIRE HEALTHCARE KENDALL,9400 SW 137TH AVENUE,KENDALL,FL,33186,3053858290,Miami-Dade,120,116.1,Medicare and Medicaid,4,2,5,4,3.87898,0.10747,46.667,0,7,0,0,3,28,28,35,4,26,FP,Cluster 2
11790,315273,COMPLETE CARE AT WOODLANDS,1400 WOODLAND AVE,PLAINFIELD,NJ,7060,9087531113,Union,120,110.0,Medicare and Medicaid,4,2,5,4,3.29875,0.055310000000000005,24.0,0,9,0,0,9,22,14,75,7,19,No,Cluster 2
11791,45184,LAKE VILLAGE REHABILITATION AND CARE CENTER,903 BORGOGNONI DRIVE,LAKE VILLAGE,AR,71653,8702655337,Chicot,102,53.4,Medicare and Medicaid,2,2,2,3,4.31992,0.01416,117.5,1,16,2,2,8,23,21,71,4,43,FP,Cluster 1
11792,55286,KEARNY MESA CONVALESCENT AND NURSING HOME,7675 FAMILY CIRCLE DRIVE,SAN DIEGO,CA,92111,8582788121,San Diego,98,81.2,Medicare and Medicaid,5,4,5,4,4.68005,0.22413,38.667,5,5,0,0,8,46,15,92,6,16,PD,Cluster 0
11793,155154,SPRING MILL MEADOWS,2140 W 86TH ST,INDIANAPOLIS,IN,46260,3178727211,Marion,130,93.7,Medicare and Medicaid,2,1,5,2,3.38228,0.11103,88.167,0,22,1,1,3,13,28,45,5,44,FP,Cluster 1
11794,165118,MADRID HOME FOR THE AGED,613 WEST NORTH STREET,MADRID,IA,50156,5157953007,Boone,88,79.7,Medicare and Medicaid,4,3,4,4,4.0057,0.03493,24.667,0,1,1,1,5,30,15,55,8,25,PD,Cluster 2
11795,35216,CARING HOUSE,PO BOX 2187,SACATON,AZ,85247,5205627400,Pinal,100,87.8,Medicare and Medicaid,2,1,4,5,6.8163399999999985,0.1137,157.667,1,0,0,1,5,18,12,82,6,13,PD,Cluster 0
11796,555170,WINDSOR POST-ACUTE CENTER OF ARVIN,323 CAMPUS DRIVE,ARVIN,CA,93203,6618544475,Kern,81,77.1,Medicare and Medicaid,3,3,4,2,3.63123,0.01325,64.0,8,6,0,0,6,36,16,95,7,32,No,Cluster 2
11797,365045,HILLEBRAND NURSING AND REHABILITATION CENTER,4320 BRIDGETOWN ROAD,CINCINNATI,OH,45211,5135744550,Hamilton,108,96.5,Medicare and Medicaid,4,3,5,2,2.77013,0.10959,32.667,2,1,0,0,5,37,28,45,4,30,PD,Cluster 2
11798,555533,DRIFTWOOD HEALTHCARE CENTER - HAYWARD,19700 HESPERIAN BOULEVARD,HAYWARD,CA,94541,5107852880,Alameda,88,80.4,Medicare and Medicaid,4,4,4,4,3.89603,0.1303,29.333,3,2,1,1,3,48,23,95,3,26,No,Cluster 2
11799,675595,SPRING CREEK NURSING AND REHABILITATION LP,2660 BRICKYARD RD,BEAUMONT,TX,77703,4098921533,Jefferson,98,41.9,Medicare and Medicaid,2,2,4,2,2.79133,0.01901,100.667,3,3,1,1,4,27,27,75,9,31,PD,Cluster 2
11800,265697,GARDEN VALLEY HEALTHCARE CENTER,8575 NORTH GRANBY AVE,KANSAS CITY,MO,64154,8164368575,Platte,156,135.8,Medicare and Medicaid,1,1,4,3,3.56951,0.03109,292.833,9,55,2,3,8,15,22,65,9,43,FP,Cluster 1
11801,235005,MAPLES BENZIE CO MEDICAL CARE,210 MAPLE ST,FRANKFORT,MI,49635,2313529674,Benzie,78,73.8,Medicare and Medicaid,5,4,5,5,5.24137,0.05271,42.0,16,0,0,0,2,42,13,45,7,15,GP,Cluster 0
11802,215353,INGLESIDE AT KING FARM,701 KING FARM BOULEVARD,ROCKVILLE,MD,20850,2404999015,Montgomery,45,24.4,Medicare and Medicaid,5,5,5,5,5.01635,0.0934,10.667,0,0,0,0,2,50,14,25,5,12,FP,Cluster 0
11803,475055,THE VILLA REHAB,7 FOREST HILL DRIVE,ST ALBANS,VT,5478,8025243498,Franklin,30,20.8,Medicare and Medicaid,5,3,5,4,5.07262,0.13379000000000002,28.0,0,3,1,1,8,30,11,55,5,15,GER,Cluster 0
11804,365531,LANCIA VILLA ROYALE,1852 SINCLAIR AVENUE,STEUBENVILLE,OH,43953,7402647101,Jefferson,52,47.4,Medicare and Medicaid,3,3,4,3,3.69427,0.02542,40.667,0,0,0,0,7,36,27,45,3,33,PD,Cluster 2
11805,455577,COMMUNITY CARE CENTER OF CROCKETT,1150 E LOOP 304,CROCKETT,TX,75835,9365442051,Houston,104,34.3,Medicare and Medicaid,5,4,5,2,3.70539,0.1598,27.333,0,3,0,0,9,47,11,75,7,18,FP,Cluster 0
11806,15465,ASPIRE PHYSICAL RECOVERY CENTER OF WEST ALABAMA,2400 HOSPITAL DRIVE,NORTHPORT,AL,35476,2053308412,Tuscaloosa,75,66.7,Medicare and Medicaid,3,2,3,4,4.21731,0.17551,24.0,0,1,0,0,2,22,25,34,5,34,No,Cluster 2
11807,55316,MOUNTAIN VIEW HEALTHCARE CENTER,2530 SOLACE PLACE,MOUNTAIN VIEW,CA,94040,6509616161,Santa Clara,138,91.2,Medicare and Medicaid,5,4,5,4,4.4326300000000005,0.08102000000000001,40.667,0,4,0,0,6,44,13,93,6,10,FP,Cluster 0
11808,175379,MENNONITE FRIENDSHIP COMMUNITIES INC,600 W BLANCHARD AVENUE,SOUTH HUTCHINSON,KS,67505,6206637175,Reno,110,102.3,Medicare and Medicaid,4,3,3,4,4.73799,0.02967,56.0,1,8,1,2,6,37,27,65,7,25,PD,Cluster 2
11809,105983,CONSULATE HEALTH CARE OF SARASOTA,4783 FRUITVILLE ROAD,SARASOTA,FL,34232,9413788000,Sarasota,81,75.8,Medicare and Medicaid,2,1,5,3,3.90641,0.02244,71.333,0,2,1,1,9,19,15,35,8,32,FP,Cluster 2
11810,305077,"LAFAYETTE CENTER, GENESIS HEALTHCARE",93 MAIN STREET,FRANCONIA,NH,3580,6038235502,Grafton,72,57.4,Medicare and Medicaid,3,2,3,4,3.79097,0.05079,8.667,0,0,0,0,6,27,22,35,7,31,FP,Cluster 2
11811,145891,CARRIAGE REHAB & HEALTHCARE,1660 SOUTH MULFORD,ROCKFORD,IL,61108,8153978700,Winnebago,112,70.9,Medicare and Medicaid,3,2,2,4,3.8627,0.07195,96.5,3,11,1,1,8,28,24,65,9,35,PD,Cluster 1
11812,146101,WILLOWS HEALTH CENTER,4054 ALBRIGHT LANE,ROCKFORD,IL,61103,8153161500,Winnebago,42,33.8,Medicare and Medicaid,5,4,4,5,8.05044,0.0,23.333,0,2,0,0,8,13,14,66,1,14,No,Cluster 0
11813,455475,WHITE SETTLEMENT NURSING CENTER,7820 SKYLINE PARK DR,WHITE SETTLEMENT,TX,76108,8172464671,Tarrant,104,77.6,Medicare and Medicaid,3,4,3,1,3.33617,0.13413,33.333,5,4,0,0,8,43,25,75,7,34,PD,Cluster 2
11814,185311,SIGNATURE HEALTHCARE AT ROCKFORD REHAB & WELLNESS,4700 QUINN DRIVE,LOUISVILLE,KY,40216,5024485850,Jefferson,110,91.3,Medicare and Medicaid,2,2,2,2,3.48807,0.07916000000000001,66.667,2,2,1,1,5,24,25,45,1,34,FP,Cluster 2
11815,435064,AVANTARA NORTH,1620 NORTH 7TH STREET,RAPID CITY,SD,57701,6053434958,Pennington,68,59.9,Medicare and Medicaid,2,2,3,3,3.59115,0.0,40.0,0,2,0,0,6,13,17,55,6,26,FP,Cluster 2
11816,396093,RICHFIELD HEALTHCARE AND REHABILITATION CENTER,"PO BOX 248, 631 MAIN STREET",RICHFIELD,PA,17086,7176943434,Juniata,40,36.9,Medicare and Medicaid,3,2,5,2,3.32025,0.04654,69.333,0,2,2,3,7,23,24,16,9,31,FP,Cluster 2
11817,525327,CLEMENT MANOR HEALTH CARE CENTER,3939 S 92ND ST,GREENFIELD,WI,53228,4143211800,Milwaukee,61,48.1,Medicare and Medicaid,5,5,5,4,4.5046,0.12972999999999998,2.0,0,0,0,0,4,55,14,55,6,11,No,Cluster 0
11818,375494,WOODLANDS SKILLED NURSING AND THERAPY,1701 EAST 6TH STREET,OKMULGEE,OK,74447,9187561967,Okmulgee,114,44.5,Medicare and Medicaid,3,4,1,4,3.74071,0.017740000000000002,32.0,0,0,0,0,9,47,28,75,9,29,FP,Cluster 2
11819,15157,HALEYVILLE HEALTH CARE CENTER,2201 11TH AVENUE,HALEYVILLE,AL,35565,2054869478,Winston,97,57.8,Medicare and Medicaid,5,5,3,4,4.7112,0.02979,6.0,0,0,0,0,2,57,13,31,7,15,FP,Cluster 0
11820,365643,PORTSMOUTH HEALTH AND REHAB,727 EIGHTH STREET,PORTSMOUTH,OH,45662,7403548631,Scioto,95,77.2,Medicare and Medicaid,3,3,2,3,3.54561,0.0,40.667,0,1,0,0,7,6,26,45,4,34,FP,Cluster 2
11821,55674,HEALTHCARE CENTER OF ORANGE COUNTY,9021 KNOTT AVE,BUENA PARK,CA,90620,7148262330,Orange,99,91.1,Medicare and Medicaid,2,1,5,2,5.32861,0.02401,205.833,2,4,0,0,7,13,32,96,4,43,FP,Cluster 1
11822,365354,LONGMEADOW CARE CENTER,565 BRYN MAWR,RAVENNA,OH,44266,3302975781,Portage,105,74.3,Medicare and Medicaid,2,2,5,1,3.33355,0.06808,52.0,0,14,0,0,3,23,25,45,5,29,PD,Cluster 2
11823,335612,BAPTIST HEALTH NURSING AND REHABILITATION CENTER,297 N BALLSTON AVE,SCOTIA,NY,12302,5183704700,Schenectady,262,230.8,Medicare and Medicaid,1,1,3,2,3.87606,0.0885,44.667,0,2,1,1,5,18,17,15,2,20,FP,Cluster 3
11824,235065,"SOUTH LYON SENIOR CARE AND REHAB CENTER, L L C",700 REYNOLD SWEET PARKWAY,SOUTH LYON,MI,48178,2484372048,Oakland,74,70.1,Medicare and Medicaid,5,4,5,4,3.42639,0.08113,64.667,3,1,0,0,2,44,11,45,6,10,PD,Cluster 0
11825,676438,KILLEEN NURSING & REHABILITATION,5000 THAYER DR,KILLEEN,TX,76549,2542216380,Bell,120,98.3,Medicare and Medicaid,1,1,2,1,3.4843800000000003,0.04729,268.0,0,4,1,1,2,14,31,76,3,43,No,Cluster 1
11826,105317,CRYSTAL RIVER HEALTH AND REHABILITATION CENTER,136 NORTHEAST 12TH AVENUE,CRYSTAL RIVER,FL,34429,3527955044,Citrus,150,131.8,Medicare and Medicaid,2,2,3,3,3.89984,0.03785,46.667,0,2,0,0,3,28,21,35,1,33,FP,Cluster 2
11827,396144,POWERBACK REHABILITATION  EXTON,501 THOMAS JONES WAY,EXTON,PA,19341,6104238600,Chester,120,105.8,Medicare,5,5,5,5,6.07302,0.40359,11.2,0,2,0,0,6,50,15,16,4,12,No,Cluster 0
11828,155242,SIGNATURE HEALTHCARE OF MUNCIE,4301 N WALNUT ST,MUNCIE,IN,47303,7652820053,Delaware,140,115.0,Medicare and Medicaid,4,4,4,3,3.55492,0.06092,28.0,0,5,0,0,7,45,14,45,4,18,FP,Cluster 0
11829,675458,PARKVIEW NURSING AND REHABILITATION CENTER,1501 S MAIN ST,LOCKHART,TX,78644,5123982362,Caldwell,108,87.6,Medicare and Medicaid,3,3,3,2,2.8385700000000003,0.01172,56.667,0,1,0,0,5,38,24,75,5,26,No,Cluster 2
11830,495193,HENRICO HEALTH & REHABILITATION CENTER,561 NORTH AIRPORT DRIVE,HIGHLAND SPRINGS,VA,23075,8047370172,Henrico,120,109.9,Medicare and Medicaid,4,4,5,1,3.2836199999999995,0.0906,32.667,0,0,0,0,7,42,21,25,9,30,No,Cluster 2
11831,455870,THE FORUM AT LINCOLN HEIGHTS,311 W NOTTINGHAM,SAN ANTONIO,TX,78209,2108242314,Bexar,60,38.0,Medicare,4,2,5,4,4.99204,0.14461,76.0,0,1,0,0,2,29,28,75,7,26,PD,Cluster 2
11832,155773,TERRACE AT SOLARBRON THE,1701 MCDOWELL RD,EVANSVILLE,IN,47712,8129850055,Vanderburgh,91,82.4,Medicare and Medicaid,2,2,4,3,3.37245,0.0,80.667,0,14,0,0,8,1,28,45,7,27,PD,Cluster 2
11833,365807,TRANSITIONAL CARE UNIT,200 ST CLAIR STREET,SAINT MARYS,OH,45885,4193943335,Auglaize,15,5.7,Medicare,5,5,5,5,8.6746,0.18651,7.332999999999998,0,0,0,0,4,56,15,45,8,19,FP,Cluster 0
11834,115382,SPARTA HEALTH AND REHABILITATION,11744 HIGHWAY 22 E,SPARTA,GA,31087,7064446057,Hancock,81,69.5,Medicare and Medicaid,2,2,2,2,3.13859,0.01887,24.0,0,0,0,0,7,21,17,35,8,28,PD,Cluster 2
11835,445423,AHC VANAYER,460 HANNINGS LANE,MARTIN,TN,38237,7315873193,Weakley,91,55.9,Medicare and Medicaid,5,5,3,4,4.50641,0.06034,3.333,3,0,0,0,7,55,13,35,9,11,FP,Cluster 0
11836,165331,MORNING SUN CARE CENTER,200 WASHINGTON,MORNING SUN,IA,52640,3198687751,Louisa,50,35.0,Medicare and Medicaid,5,5,3,5,3.67357,0.03393,2.667,2,0,0,0,3,56,13,55,3,10,PD,Cluster 0
11837,105512,CLERMONT HEALTH AND REHABILITATION CENTER,151 E MINNEHAHA AVE,CLERMONT,FL,34711,3523942188,Lake,182,172.4,Medicare and Medicaid,3,2,4,4,3.82695,0.08885,35.333,0,5,0,0,3,28,20,35,1,27,FP,Cluster 3
11838,315497,ALLENDALE NURSING HOME,85 HARRETON ROAD,ALLENDALE,NJ,7401,2018250660,Bergen,120,72.9,Medicare and Medicaid,3,2,4,5,4.78902,0.03497,25.333,0,2,0,0,2,27,16,75,9,34,GER,Cluster 2
11839,146146,HAMILTON MEMORIAL REHAB & HCC,609 SOUTH MARSHALL,MCLEANSBORO,IL,62859,6186432325,Hamilton,60,40.4,Medicare and Medicaid,4,4,3,3,3.42405,0.016,28.0,0,1,0,0,6,44,18,66,4,25,No,Cluster 2
11840,505413,COLONIAL VISTA POST-ACUTE & REHAB CENTER,625 OKANOGAN,WENATCHEE,WA,98801,5096631171,Chelan,100,70.2,Medicare and Medicaid,5,4,5,5,4.38584,0.08344,83.333,2,2,2,2,5,43,14,95,3,10,FP,Cluster 0
11841,105809,GOOD SAMARITAN CENTER,10676 MARVIN JONES BLVD,LIVE OAK,FL,32060,3866585550,Suwannee,161,148.5,Medicare and Medicaid,4,4,2,4,4.35078,0.02555,20.667,0,0,0,0,3,43,15,35,8,33,PD,Cluster 3
11842,145370,SULLIVAN REHAB & HLTH CARE CTR,11 HAWTHORNE LANE,SULLIVAN,IL,61951,2177284327,Moultrie,123,71.3,Medicare and Medicaid,1,3,1,1,2.27122,0.0199,52.0,0,14,0,0,2,32,22,65,7,31,FP,Cluster 2
11843,235292,MEDILODGE OF SAULT STE MARIE,1011 MERIDIAN RD,SAULT SAINTE MARIE,MI,49783,9066351518,Chippewa,114,54.3,Medicare and Medicaid,2,1,5,4,4.90693,0.07701000000000001,159.333,12,8,0,0,9,19,25,45,9,33,No,Cluster 1
11844,555301,VILLA POMERADO D/P SNF,15615 POMERADO RD,POWAY,CA,92064,8586134545,San Diego,129,111.0,Medicare and Medicaid,5,4,5,4,5.64976,0.16583,27.333,3,1,0,0,8,46,12,95,1,19,PD,Cluster 0
11845,265169,PIONEER SKILLED NURSING CENTER,1500 SOUTH KANSAS AVENUE,MARCELINE,MO,64658,6603762001,Chariton,96,43.1,Medicare and Medicaid,4,2,5,4,3.74831,0.01417,54.833,0,0,0,0,6,27,19,65,6,30,FP,Cluster 2
11846,495332,RIVERSIDE HEALTHY LIVING COMMUNITY-SMITHFIELD,101 JOHN ROLFE DRIVE,SMITHFIELD,VA,23430,7573573282,Isle Of Wight,34,28.9,Medicare,4,4,2,4,4.6092900000000006,0.07926,23.333,0,0,0,0,7,46,25,25,3,30,FP,Cluster 2
11847,105491,GANDY CROSSING CARE CENTER,4610 S MANHATTAN AVE,TAMPA,FL,33611,8138395311,Hillsborough,160,164.8,Medicare and Medicaid,2,2,3,2,3.93437,0.10604,38.667,0,5,1,1,8,29,15,35,9,21,FP,Cluster 3
11848,65379,BROOMFIELD SKILLED NURSING AND REHABILITATION CTR,12975 SHERIDAN BLVD,BROOMFIELD,CO,80020,3037855800,Broomfield,210,183.0,Medicare and Medicaid,4,2,5,4,3.54007,0.08981,50.0,0,8,0,0,3,25,15,83,9,24,FP,Cluster 3
11849,335254,ACADIA CENTER FOR NURSING AND REHABILITATION,1146 WOODCREST AVENUE,RIVERHEAD,NY,11901,6317277744,Suffolk,181,133.7,Medicare and Medicaid,5,4,5,2,3.82149,0.10809,14.667,2,0,0,0,6,48,18,15,5,29,FP,Cluster 3
11850,55249,MERCED NURSING & REHABILITATION CTR,510 WEST 26TH STREET,MERCED,CA,95340,2097232911,Merced,79,76.0,Medicare and Medicaid,5,5,5,2,3.6458,0.02739,16.667,2,0,0,0,2,56,16,92,9,19,FP,Cluster 0
11851,175235,DIVERSICARE OF LARNED,1114 W 11TH STREET,LARNED,KS,67550,6202856914,Pawnee,61,45.7,Medicare and Medicaid,4,2,5,4,3.67344,0.10002,87.333,1,7,1,1,6,26,29,65,3,30,FP,Cluster 2
11852,65124,HOLLY HEIGHTS CARE CENTER,6000 EAST ILIFF AVE,DENVER,CO,80222,3037575441,Arapahoe,133,120.5,Medicare and Medicaid,5,5,5,3,3.61481,0.03483,10.0,0,2,0,0,3,56,12,81,4,15,No,Cluster 0
